JobId,BenefitId,BenefitValue
1907177,9,Du lịch hàng năm.
1907177,10,Môi trường làm việc năng động.
1907177,12,"Phụ cấp ăn trưa, hỗ trợ đồng phục."
1907176,1,"Thu nhập cao, thưởng dự án"
1907176,3,12 ngày phép trong 1 năm
1907176,9,"Du lịch , nghỉ mát hàng năm"
1907153,1,Lương cạnh tranh + Phụ cấp  + Chế độ thưởng + Tăng lương
1907153,2,Chăm sóc sức khỏe
1907153,3,Chế độ bảo hiểm+ Nghỉ phép năm
1907163,1,Quarterly bonus & Year-end bonus as part of our profit sharing program
1907163,2,"Global health insurance package for yourself and direct family members, plus annual health checkup"
1907163,3,"12 days of paid annual leave, plus seniority paid leave"
1907163,4,General company T&D Program
1907163,10,Budget for frequent team building activities and other monthly/ quarterly/ annual company events
1907163,15,"Full salary during probation & Guaranteed 13th month salary
A Pantry & a Crossian Cafe stocked with goodies, ready to serve
Other benefits in accordance to Company's Policy and Vietnam Labor Laws"
1891742,1,"Lương tháng 13, thưởng ngày Lễ, Tết"
1891742,2,"Khám sức khỏe định kỳ, BH chăm sóc sức khỏe"
1891742,9,"Du lịch trong nước, nước ngoài"
1907167,1,"Lương tháng 13, lương thưởng theo kinh nghiệm và năng lực của ứng viên (có thể đàm phán).
Thưởng dự án."
1907167,3,"Chế độ nghỉ phép năm, bảo hiểm xã hội và bảo hiểm y tế theo quy định của pháp luật."
1907167,9,Du lịch hàng năm.
1907167,10,Môi trường làm việc năng động.
1907167,12,"Phụ cấp ăn trưa, hỗ trợ đồng phục."
1905556,1,"Lương cứng 15-16 triệu/tháng + thưởng
Lương Tháng 13 + Thử việc 100% lương"
1905556,2,"Chế độ Bảo hiểm Y tế, Bảo hiểm Xã hội + Bảo hiểm sức khoẻ Aon."
1905556,3,14 ngày phép năm
1905556,10,"Tham gia các hoạt động gắn kết và well-being: Company events, Happy day, best sales...."
1905556,11,"Hỗ trợ gửi xe, ăn trưa"
1905556,15,"Cơ hội thăng tiến và phát triển nghề nghiệp tại môi trường chuyên nghiệp và năng động
Cơ hội làm việc với các chuyên gia hàng đầu trong lĩnh vực và các cộng sự tài năng.
Làm việc trong môi trường minh bạch, tin cậy và truyền cảm hứng."
1907152,1,"Thưởng nóng theo hợp đồng, thưởng tháng/quý/năm."
1907152,2,"Bảo hiểm xã hội, y tế đầy đủ, chế độ nghỉ lễ, phép theo quy định."
1907152,4,"Được đào tạo chuyên sâu về sản phẩm, kỹ thuật dán phim, kỹ năng bán hàng."
1907152,15,"Hỗ trợ chi phí điện thoại, công tác phí khi đi gặp khách hàng."
1907159,3,"Chế độ nghỉ phép năm, bảo hiểm xã hội và bảo hiểm y tế theo quy định của pháp luật."
1907159,15,"Phụ cấp ăn trưa, hỗ trợ đồng phục.
Phụ cấp đi lại, ăn ở khách sạn.
Lương tháng 13, lương thưởng theo kinh nghiệm và năng lực của ứng viên (có thể đàm phán).
Môi trường làm việc năng động."
1907057,1,Bonus in accordance with Company Policy
1907057,2,"Social insurance, health insurance, unemployment insurance according to Labor Laws"
1907057,15,Training &amp; development opportunities
1907059,1,Bonus in accordance with Company Policy
1907059,2,"Social insurance, health insurance, unemployment insurance according to Labor Laws"
1907059,15,Training &amp; development opportunities
1907121,1,Premium medical insurance; Annual Health Check-Up Program
1907121,2,13rd month salary and other competitive benefits
1906519,1,Lương cứng 10tr -15 tr + hoa hồng doanh số + lương tháng 13 + thưởng cuối năm (từ 1-3 tháng lương)
1906519,2,"Chế độ bảo hiểm theo quy định của pháp luật, ngoài ra có thêm gói bảo hiểm sức khỏe hàng năm"
1906519,3,12 ngày nghỉ phép có lương hàng năm
1902320,1,Attractive Bonus
1902320,2,Premium Healthcare Package
1902320,3,18 days
1896449,1,"Lương tháng 13, thưởng doanh số hàng năm, thưởng dự án, thưởng doanh số (theo vị trí)"
1896449,2,"Bảo hiểm xã hội, Bảo hiểm sức khỏe, khám định kỳ hàng năm"
1896449,3,Phép năm: 18 ngày/năm
1896449,4,"Nguồn học miễn phí trên các nền tảng Udemy, Coursera, O'relly; hội thảo nội bộ, tài trợ chứng nhận,..."
1896449,10,Teambuilding hàng quý / hàng năm & các sự kiện nội bộ gắn kết
1896449,15,"Phụ cấp ăn trưa: 730.000đ/tháng, Thưởng Lễ Tết: 3.000.000 VND/năm, Máy tính xách tay, màn hình và các phương tiện/tài khoản/công cụ cần thiết khác cho công việc"
1899068,1,13th Salary Fixed and KPI Bonus
1899068,2,Premium Health Care for employees (personal/family dependents)
1899068,3,15/18 Annual Leaves
1907139,1,13-month salary bonus and ½ basic salary bonus
1907139,2,Healthcare & Accident Insurance
1907139,3,Annual leave: 14 days per year
1907139,4,"Ansell University, LinkedIn Learning and Mentorship programs to develop professional and interpersonal skills."
1907139,15,"Flexible and hybrid work model.
A culture of belonging and inclusion, collaboration thrives, and everyone feels seen, heard, and empowered.
Opportunities to advance and grow within the company through LinkedIn Learning and Mentorships."
1907134,1,13th Salary and Bonus
1907134,3,Attractive Salary
1907134,12,"Social insurance, health insurance, unemployment insurance according to Labor Laws"
1879730,1,"Competitive salary, health insurance covered for employee and dependents"
1879730,4,Receiving training opportunities including many technical seminars and soft skill training courses
1879730,15,Good opportunity for promotion through regular performance review system
1898162,1,"Thưởng hưởng các chế độ của cty : tháng lương thứ 13, thưởng kết quả kinh doanh, nghỉ lễ tết theo quy định của nhà nước…"
1898162,2,Được tham gia BHXH theo luật định
1898162,4,Được tài trợ các khóa học nâng cao nghiệp vụ chuyên môn và phát triển bản thân
1900736,4,"Huấn luyện “Hổ tướng”: chương trình đào tạo quản lý tài năng, bệ phóng trở thành Chiến tướng tinh nhuệ"
1900736,15,"Thu nhập cạnh tranh, thỏa thuận khi trao đổi
Đánh giá tăng lương 2 kỳ mỗi năm
Sau 6 tháng có cơ hội trở thành quản lý/chuyên gia với lộ trình rõ ràng - được trao quyền, thăng tiến không đợi tuổi"
1898266,1,"13th-Month Bonus guaranteed + Annual Performance Bonus
Meal + Phone + Transportation allowances"
1898266,2,"Premium Healthcare Insurance for employee & family member(s)
Company Health & Wellbeing programs"
1898266,9,"Annual department building program
Oversea Company Outing Trips every 2-year"
1898266,13,Company products entitlement
1888466,1,"Lương tháng 13, thưởng Tết"
1888466,3,14 ngày nghỉ phép có lương
1888466,11,Xe đưa đón từ nội thành Hà Nội
1888468,1,"Lương tháng 13, thưởng Tết"
1888468,3,14 ngày nghỉ phép có lương
1888468,11,Xe đưa đón từ nội thành Hà Nội
1899671,1,"Lương tháng 13; tăng lương, thưởng hàng năm"
1899671,2,Bảo hiểm đầy đủ theo quy định; bảo hiểm sức khoẻ và tai nạn cho toàn nhân viên
1899671,11,"Xe đưa đón tận nơi khi gặp khách hàng; du lịch 4*, 5* trong và ngoài nước hàng năm"
1904145,1,"Bonus: 13th month Salary, KPI Incentives based on annual performance evaluation and company’s business situation."
1904145,2,Insurance: Social insurance and personal medical insurance (PVI Insurance)
1904145,4,Cơ hội đào tạo với những chuyên gia nước ngoài từ Samsung
1904252,1,- Tăng lương hàng năm. thưởng cuối năm và các loại trợ cấp hấp dẫn khác
1904252,4,Được tham gia các khóa đào tạo phát triển kỹ năng nghề nghiệp
1904252,15,"Tham quan du lịch, tiệc cuối năm, đảm bảo các chế độ BHXH theo quy định"
1901891,2,"CBNV được hưởng các chế độ BHXH, BHYT, BHSK theo quy định của pháp luật và luật Lao Động.
Được thăm khám sức khỏe định kỳ hàng năm tại các cơ sở khám chữa bệnh hiện đại."
1901891,3,"Được nghỉ hưởng nguyên lương 12 ngày nghỉ phép (Số ngày nghỉ hằng năm của người lao động được tăng thêm theo thâm niên làm việc), 11 ngày lễ theo quy định của pháp luật, 02 ngày nghỉ khám bệnh/năm với người lao động mắc bệnh hiểm nghèo."
1901891,4,"Được xem xét cử tham gia các khoá tập huấn, đào tạo, khảo sát, hội thảo trong và ngoài nước theo yêu cầu công việc nhằm nâng cao khả năng quản trị kinh doanh, trình độ chuyên môn nghiệp vụ, ngoại ngữ, lý luận chính trị, kỹ năng mềm."
1901891,15,"Mức lương hấp dẫn, cạnh tranh, thỏa thuận tùy theo năng lực và kinh nghiệm ứng viên. CBNV được hưởng lương theo vị trí chức danh, lương năng suất, thưởng doanh số, thưởng KPI, thưởng hoàn thành chỉ tiêu, bổ sung quỹ thu nhập kỳ 06 tháng/1 năm"
1906222,1,Attractive and competitive salary
1906222,3,"Annual leave: 12 days/year, after 2 working years extra 3 days"
1906222,11,Shuttle car service from HN to BN &amp; vice versa
1906277,1,Salary and bonus in accordance with the company polic
1906277,2,Insurance in accordance with the company policy
1906277,3,Paid leave in accordance with the company policy
1906291,1,Thu nhập: Dao động từ 15tr - 22tr VNĐ
1906291,2,"Đóng BHXH full lương, hưởng đầy đủ chế độ phúc lợi theo Luật lao động"
1906291,15,Xét tăng lương 1 năm/ lần theo cấp quản lý đánh giá
1906282,1,"Chính sách lương, thưởng cạnh tranh trên thị trường (Thưởng theo hiệu suất kinh doanh và thưởng định kỳ)."
1906282,2,Gói bảo hiểm đặc biệt ACB Care dành cho nhân viên và người thân.
1906282,4,"Cơ hội được đào tạo, phát triển về chuyên môn, nghiệp vụ và huấn luyện chuyên sâu tại Trung tâm học tập - ACB Learning Hub."
1906282,5,Nhiều chương trình Thi đua kinh doanh trong nội bộ với những giải thưởng hấp dẫn dành cho nhân viên.
1906282,10,"Các hoạt động gắn kết nhân viên được tổ chức hằng năm: Teambuilding, Ngày hội gia đình, Hành trình kết nối yêu thương, Các hoạt động thể thao và hoạt động cộng đồng khác."
1906282,15,"Lộ trình thăng tiến minh bạch và rõ ràng (Đánh giá và đề xuất định kỳ 6 tháng/lần tùy vào năng lực).
Chế độ phụ cấp bao gồm đồng phục, ăn trưa, di chuyển, điện thoại,…
Chính sách hỗ trợ vay với lãi suất ưu đãi dành cho nhân viên."
1906285,1,Thu nhập: Dao động từ 12tr - 17tr VNĐ
1906285,2,"Đóng BHXH full lương, hưởng đầy đủ chế độ phúc lợi theo Luật lao động"
1906285,15,Xét tăng lương 1 năm/ lần theo cấp quản lý đánh giá
1906289,1,Hưởng mức lương cạnh tranh thị trường cùng các khoản thưởng hợp lý khác tương xứng với sự đóng góp
1906289,4,"Đào tạo chuyên sâu, nâng cao kiến thức cho nhân viên với các chuyên gia đầu ngành"
1906289,5,Lộ trình thăng tiến rõ ràng phù hợp cho từng vị trí hoặc từng cá nhân
1904686,15,Theo quy định của công ty
1904634,15,Theo quy định của công ty
1904691,15,Theo quy định của công ty
1904682,15,Theo quy định của công ty
1904622,15,Theo quy định của công ty
1904639,15,Theo quy định của công ty
1904651,15,Theo quy định của công ty
1904660,15,Theo quy định của công ty
1904670,15,Theo quy định của công ty
1904674,15,Theo quy định của công ty
1904678,15,Theo quy định của công ty
1904022,1,"Công việc ổn định, môi trường làm việc năng động, chuyên nghiệp
Có cơ hội thăng tiến
Lương, trợ cấp ăn trưa, giờ làm thêm, công tác phí, nghỉ mát… theo chế độ công ty
Thưởng các ngày lễ, tết theo quy định của công ty.
Thưởng tháng lương 13."
1904022,2,Chế độ bảo hiểm theo quy định của nhà nước.
1904022,3,"Được hưởng các chế độ đãi ngộ và phúc lợi xã hội theo Luật Lao động (nghỉ phép, nghỉ ốm…)."
1904032,1,Thu nhập & chế độ thưởng hấp dẫn (tăng lương và thưởng hàng năm)
1904032,2,"Được hưởng đầy đủ quyền lợi về BHXH, BHYT, BHTN theo luật Lao động Việt Nam & nhiều chế độ đãi ngộ khác của Công ty."
1904032,3,Ngoài ngày nghỉ Chủ nhật - mỗi tháng được nghỉ thêm 02 ngày thứ bảy.
1904032,10,"Được tham gia các hoạt động hằng năm của Cty : Du Lịch , Team Work , Tiệc …."
1904032,15,"Làm việc trong môi trường sạch sẽ, máy móc hiện đại, có máy lạnh."
1904129,1,Sales KPI bonus
1904129,3,Annual leaves and company leaves
1904129,12,Meal allowances
1903037,1,Competitive remuneration package (up to 16.5-month salary)
1903037,5,"Training activities and chances to work onsite in EU, US, Korea,..."
1903037,7,LG Gram
1884929,1,"Du Lịch, Phụ cấp, thưởng, Tăng lương"
1884929,2,"Chăm sóc sức khỏe, Đào tạo, Công tác phí, Phụ cấp thâm niên, Chế độ nghỉ phép"
1889094,1,"Du Lịch, Phụ cấp, thưởng, Tăng lương"
1889094,2,"Chăm sóc sức khỏe, Đào tạo, Công tác phí, Phụ cấp thâm niên, Chế độ nghỉ phép"
1900235,1,"Mức lương hấp dẫn, phúc lợi toàn diện"
1900235,2,"Chế độ ưu đãi đặc biệt khi sử dụng các dịch vụ, sản phẩm của Tập đoàn Vingroup"
1900235,4,"Môi trường chuyên nghiệp, sự nghiệp thăng tiến"
1900749,1,"13th Salary, KPI Bonus"
1900749,7,Provide laptop for working
1900749,11,"Shuttle bus from Hanoi, Bac Ninh, Bac Giang"
1903696,3,12 days up paid annual leave
1902277,1,high competitive salary and year-end bonus 
1902277,11,Bien Hoa - Company and Ho Chi Minh City - Company
1902282,1,"Mức lương cạnh tranh, đàm phán theo năng lực"
1902282,2,"Chương trình đi du lịch hàng năm, đóng BHXH ngay từ tháng thử việc"
1902282,4,"Cơ hội đào tạo tại Foxconn Trung Quốc, Hungary, Mỹ..."
1902169,1,Mức offer lương hấp dẫn và được tăng lương hàng năm dựa trên kết quả đánh giá.
1902169,2,Du lịch trong và ngoài nước 1-2 lần/năm
1902169,4,"Hưởng 13 ngày phép/năm, BHYT, BHXH, BHTN"
1902224,2,Chế độ bảo hiểm sức khỏe theo quy định
1902224,7,Cung cấp máy tính + nghỉ phép có lương + Thưởng
1902224,9,Du lịch trong và ngoài nước
1902264,1,high competivetive salary and year-end bonus
1902264,11,Shuttle bus from Bien Hoa and Ho Chi Minh city
1901894,1,"Mức lương hấp dẫn, cạnh tranh, thỏa thuận tùy theo năng lực và kinh nghiệm ứng viên. Người lao động được hưởng lương theo vị trí chức danh, lương năng suất, thưởng doanh số, thưởng KPI, thưởng hoàn thành chỉ tiêu, bổ sung quỹ thu nhập kỳ 06 tháng/1 n"
1901894,2,"Người lao động được hưởng các chế độ BHXH, BHYT, BHSK theo quy định của pháp luật và luật Lao Động.
Được thăm khám sức khỏe định kỳ hàng năm tại các cơ sở khám chữa bệnh hiện đại."
1901894,3,"Được nghỉ hưởng nguyên lương 12 ngày nghỉ phép (Số ngày nghỉ hằng năm của người lao động được tăng thêm theo thâm niên làm việc), 11 ngày lễ theo quy định của pháp luật, 02 ngày nghỉ khám bệnh/năm với người lao động mắc bệnh hiểm nghèo."
1901894,4,"Cán bộ được xây dựng lộ trình phát triển nghề nghiệp theo hướng nhiều hướng: Hướng quản lý, Hướng Chuyên gia, Hướng vừa Chuyên gia vừa Quản lý.
Được xem xét cử tham gia các khoá tập huấn, đào tạo, khảo sát, hội thảo trong và ngoài nước theo yêu cầu"
1901894,15,"Được chi phúc lợi các ngày lễ tết, nghỉ mát, du xuân, sinh nhật, đám hỷ, đám hiếu, chi khen thưởng cho con có thành tích tốt trong học tập, chi thăm hỏi tứ thân phụ mẫu/vợ chồng/con khi ốm đau
Được hỗ trợ tiền ăn trưa, điện thoại liên lạc hàng tháng"
1901899,1,"Mức lương hấp dẫn, cạnh tranh, thỏa thuận tùy theo năng lực và kinh nghiệm ứng viên. Người lao động được hưởng lương theo vị trí chức danh, lương năng suất, thưởng doanh số, thưởng KPI, thưởng hoàn thành chỉ tiêu, bổ sung quỹ thu nhập kỳ"
1901899,2,"Người lao động được hưởng các chế độ BHXH, BHYT, BHSK theo quy định của pháp luật và luật Lao Động.
Được thăm khám sức khỏe định kỳ hàng năm tại các cơ sở khám chữa bệnh hiện đại."
1901899,3,"Được nghỉ hưởng nguyên lương 12 ngày nghỉ phép (Số ngày nghỉ hằng năm của người lao động được tăng thêm theo thâm niên làm việc), 11 ngày lễ theo quy định của pháp luật, 02 ngày nghỉ khám bệnh/năm với người lao động mắc bệnh hiểm nghèo."
1901899,4,"Cán bộ được xây dựng lộ trình phát triển nghề nghiệp theo hướng nhiều hướng: Hướng quản lý, Hướng Chuyên gia, Hướng vừa Chuyên gia vừa Quản lý.
Được xem xét cử tham gia các khoá tập huấn, đào tạo, khảo sát, hội thảo trong và ngoài nước theo yêu cầu"
1901899,15,"Được chi phúc lợi các ngày lễ tết, nghỉ mát, du xuân, sinh nhật, đám hỷ, đám hiếu, chi khen thưởng cho con có thành tích tốt trong học tập, chi thăm hỏi tứ thân phụ mẫu/vợ chồng/con khi ốm đau
Được hỗ trợ tiền ăn trưa, điện thoại liên lạc hàng tháng"
1901902,1,"Mức lương hấp dẫn, cạnh tranh, thỏa thuận tùy theo năng lực và kinh nghiệm ứng viên. CBNV được hưởng lương theo vị trí chức danh, lương năng suất, thưởng doanh số, thưởng KPI, thưởng hoàn thành chỉ tiêu, bổ sung quỹ thu nhập kỳ 06 tháng/1 năm"
1901902,2,"CBNV được hưởng các chế độ BHXH, BHYT, BHSK theo quy định của pháp luật và luật Lao Động.
Được thăm khám sức khỏe định kỳ hàng năm tại các cơ sở khám chữa bệnh hiện đại."
1901902,3,"Được nghỉ hưởng nguyên lương 12 ngày nghỉ phép (Số ngày nghỉ hằng năm của người lao động được tăng thêm theo thâm niên làm việc), 11 ngày lễ theo quy định của pháp luật, 02 ngày nghỉ khám bệnh/năm với người lao động mắc bệnh hiểm nghèo."
1901902,4,"Cán bộ được xây dựng lộ trình phát triển nghề nghiệp theo hướng nhiều hướng: Hướng quản lý, Hướng Chuyên gia, Hướng vừa Chuyên gia vừa Quản lý.
Được xem xét cử tham gia các khoá tập huấn, đào tạo, khảo sát, hội thảo trong và ngoài nước theo yêu cầu"
1901902,15,"Được chi phúc lợi các ngày lễ tết, nghỉ mát, du xuân, sinh nhật, đám hỷ, đám hiếu, chi khen thưởng cho con có thành tích tốt trong học tập, chi thăm hỏi tứ thân phụ mẫu/vợ chồng/con khi ốm đau
Được hỗ trợ tiền ăn trưa, điện thoại liên lạc hàng tháng"
1901895,1,"Mức lương hấp dẫn, cạnh tranh, thỏa thuận tùy theo năng lực và kinh nghiệm ứng viên. Người lao động được hưởng lương theo vị trí chức danh, lương năng suất, thưởng doanh số, thưởng KPI, thưởng hoàn thành chỉ tiêu, bổ sung quỹ thu nhập kỳ 06 tháng/1 n"
1901895,2,"Người lao động được hưởng các chế độ BHXH, BHYT, BHSK theo quy định của pháp luật và luật Lao Động.
Được thăm khám sức khỏe định kỳ hàng năm tại các cơ sở khám chữa bệnh hiện đại."
1901895,3,"Được nghỉ hưởng nguyên lương 12 ngày nghỉ phép (Số ngày nghỉ hằng năm của người lao động được tăng thêm theo thâm niên làm việc), 11 ngày lễ theo quy định của pháp luật, 02 ngày nghỉ khám bệnh/năm với người lao động mắc bệnh hiểm nghèo."
