SkillId,SkillName
38571,Thiết Kế Rập
774691,Garment Technical Design
620991,ETS System
320657,Sampling Analysis
18632,Sewing
117920,Kỹ Thuật May Mặc
3582,Cho Thuê Tài Chính
86431,Financial Statement Analysis
77843,Stock Management
721226,Finance
197,Risk Management
9136,Market Development
682,Production Management
389,Mechanical
127822,Project Improvement
784884,Huy Động Dòng Tiền
1176049,Nghiên Cứu Xu Hướng
1220700,Nghiệp Vụ Chuyển Tiền
7501,Thanh Toán
137181,Xây Dựng Quy Trình
12383,Sales Management
988105,Analytical Skills
988104,Presentation Skills
354070,Relation Management
40773,Customer Relation
1024896,KYC Compliance
680,Business Development
31877,Corporate Banking
1013691,Illustrator
989313,Photoshop
1048,Thiết Kế Đồ Họa
989100,InDesign
1982,Multimedia
1011801,Kinh Tế
1000073,ngân hàng
487,Quản Trị Kinh Doanh
987690,Kỹ năng giao tiêp
2944,Báo Cáo Công Nợ
111455,Hạch Toán
1092206,Kế toán Phải Thu
413385,Kế Toán Xuất Hóa Đơn
19480,Thu Hồi Công Nợ
13432,Thẩm Định Giá
740639,Dịch Vụ Ngân Hàng
138495,Luật Đất Đai
24011,Môi Giới Bất Động Sản
111,Đào Tạo
1152659,Khách Hàng Cá Nhân
4382,Đảm Bảo Chất Lượng
1287,Lập Kế Hoạch Kinh Doanh
1024347,Thẩm định khách hàng
12711,Phát Triển Khách Hàng
993241,Quản Lý Chất Lượng
3720,Kế Hoạch Kinh Doanh
2105,Vận Hành
185985,Thiết Kế Tủ Điện
75389,AutoCAD
916478,Lập Hồ Sơ Dự Thầu
706773,Lập Trình PLC
394,Quản Lý Sản Xuất
989445,Auto Cad
990728,PLC Programming
76322,5S
1016070,PLC Programming
45799,Tư Vấn Sản Phẩm
320276,Telesales
1054,Online Sales
285,C++
1341,Automotive
934022,HMI
1321,MVC
9988,OOAD
1016778,Sales & Business Development
1027674,Sales growth strategies
3719,Sales Planning
31009,Business Strategy
42855,Business Strategic Planning
11363,Business Planning
1938,Thiết Kế Kiến Trúc
148079,Kiến Trúc Xây Dựng
371450,Kết Cấu Kiến Trúc
14573,Architecture Design
1016087,Kết cấu
1070624,Production Leadership
972009,Production Line Management
487675,Production Monitoring
1029350,Production supervision
987635,GD&T
990565,Word & Excel
102272,Creo
987728,Manufacturing Engineering
330588,Effective Communication
5787,MS Office
43206,Quality Management System
13052,Statistical Analysis
788133,SPI
616647,Repair Maintenance
988280,Phân Tích Dữ Liệu
160,Kiểm Toán
3350,Quản Lý Nhân Viên
692627,Lập Kế Hoạch
4483,Quản Lý Hồ Sơ
362743,Báo Cáo Tồn Kho
53483,Sales Administration
11373,Phân Tích Số Liệu
1012266,English Language Proficiency
19062,ERP Systems
476606,People Leadership
343186,Bán Lẻ
937431,Đàm Phán Hợp Đồng
989720,Giao Tiếp Tiếng Anh
36449,Nghiệp Vụ Tín Dụng
155191,Xây Dựng Chương Trình
2885,Kiểm Thử Phần Mềm
736425,Nghiệp Vụ Chi Phí
738979,Dịch Vụ Ngân Hàng Điện Tử
4318,Quản Lý Rủi Ro
1016805,Hỗ trợ khách hàng
1014098,Am Hiểu Sản Phẩm Công Nghệ
987678,Kỹ năng làm việc nhóm
987854,Kỹ năng giao tiếp
1011613,Kỹ năng giao tiếp
1011539,Kỹ năng làm việc nhóm
1024515,Kỹ năng làm việc nhóm
743434,Mô Phỏng Phân Tích
778524,Quản Lý Tài Chính Ngân Hàng
997468,Sales B2B
319296,Hệ Thống Cơ Điện Tử
49261,Triển Khai Bản Vẽ
2164,Nghiệm Thu
20810,Phát Triển Đại Lý
671230,Thiết Bị Điện Lạnh
6378,Bán Hàng Đại Lý
11947,Banking
1998,Digital Banking
11232,Product Marketing
72414,Nhiệt Lạnh
5547,Điều Hòa Không Khí
1507,Sửa Chữa Điện Lạnh
708172,HVAC Service
30409,Customer Support
174,Customer Service
135312,Client Relationship
32757,Technical Service
994666,English proficiency
1233,HVAC
110755,Thermal Engineering
1034305,Air conditioning knowledge
996081,Cad
504,Revit
1170787,Dietitian
75410,Nutrition
35841,Creative Thinking
94105,Engaging People
152647,Fire Fighting
304556,Safety Systems
761111,HSE Compliance
1963,Cơ Khí Động Lực
1936,Công Nghệ Ô Tô
586859,Làm Việc Nhóm
6385,Sửa Chữa Ô Tô
1017941,Kỹ năng nắm bắt và giải quyết vấn đề
1010774,Excel Skills
1024530,Kiểm Soát Tồn Kho
736568,Lắng Nghe Chủ Động
1048157,Lãnh đạo và xây dựng đội ngũ
721228,Quản Lý ETC
45099,Quản Lý Khu Vực ETC
1018164,Dược Sĩ
24756,Territory Management
38327,ESL
1043592,Esl Teaching
840627,Curriculum Mapping
772465,Educational Research
92261,Educational Program Design
461599,Budget Management
888059,Budget Management
842148,People Motivation
6427,Team Management
1010384,Supply Chain Operations
1068304,Planning And Organization
1050996,Chemical Management Systems
1027594,Import-export management
1012055,Quản trị Kinh doanh
615418,Marketing POSM
202292,Quản Lý Chuỗi Cửa Hàng Bán Lẻ
200630,Giải Pháp Doanh Số
988767,Giao Tiếp Hiệu Quả
1081246,Kỹ Năng Chốt Sale
663476,Shipment Management
650576,Shipping Management
34149,Document Management
111968,Law Firms
10331,Legal Research
359168,Administrative Support
24772,Bảo Hành Máy Móc
203749,Sửa Chữa Thiết Bị Máy Móc
394020,Event Marketing
1005379,E commerce
991823,Content Creative
1032567,Photo and video editing
2780,Tư Vấn Khách Hàng
675986,Phân Tích Lỗi
675984,Quy Trình Sản Phẩm
593723,Chứng Từ Xuất Nhập Kho
590875,Quản Lý Kho Hàng Hóa
1543,Thủ Tục Hải Quan
1040871,Tổng hợp dữ liệu
1017708,Xuất nhập khẩu
547596,Quản Trị Thay Đổi
1022402,Tài chính - Ngân hàng
123417,Kiểm Soát Hồ Sơ Thanh Toán
3498,Khảo Sát Thị Trường
37039,Dịch Vụ Ngành Ô Tô
9146,Sản Xuất Lốp Xe
327976,Gia Công Áp Lực
991991,Content Planning
1034090,Digital Content Creation
1009198,WRITING & CONTENT CREATING
1005203,Content Social
1032662,QA & Testing
9,Quality Assurance
988842,Communication Skills
881835,Negotiation Skills
1033749,Hệ thống ISO
655882,Kỹ Thuật Cơ Sở Hạ Tầng
3644,Quản Lý Vật Tư
598762,Sửa Chữa Bảo Trì Thiết Bị
127729,Điều Hòa Thông Gió
93,Kế Toán Tổng Hợp
305314,Quản Lý Công Nợ
27371,Lập Báo Cáo Tài Chính
993061,MISA
22444,Thiết Kế Jig
479443,Thiết Kế Máy Tự Động Hoá
676,Branding
918177,Marketing Tools
784547,Spare Parts Management
677842,Cải Tiến Thiết Bị
4219,Mobile Testing
5724,Selenium
60017,JMeter
1011609,Sales experience
1100519,Bồi dưỡng nghiệp vụ
1012563,Kĩ Thuật Tự Động Hóa
993197,Sản xuất
991365,Communications
996866,Năng Động
992555,Chịu được áp lực
1136719,Chăm Chỉ Bền Bỉ
478392,Cơ Khí Thiết Bị
768386,Cải Tiến Quy Trình Vận Hành
337,Garment
27907,CFA
43564,Phân Tích Định Lượng
259,Big Data
9354,Business Finance
1117854,Kinh doanh & Phát triển khách hàng
693,Quản Lý Bán Hàng
110,Ô Tô
1027983,Sales Logistics
1081897,Tiếng Trung Hsk5
1013275,Tiếng Trung lưu loát
1073354,Xuất nhập khẩu - Logistics
1015124,3Dsmax
1011283,Autocad
20858,Thiết Kế 3D
118106,Khai Thác Khách Hàng
25794,Kinh Doanh Xuất Nhập Khẩu
2791,Thiết Kế Cơ Khí
626148,Bóc Tách Bản Vẽ Chi Tiết
6077,Lập Tiến Độ Thi Công
726917,Kĩ Thuật Công Trường
3628,Hệ Thống Điện
2223,Điện Công Nghiệp
1003014,Finance & Accounting
7795,Tài Chính Doanh Nghiệp
561,Phân Tích Tài Chính
1934,Kỹ Thuật Cơ Khí
651497,ISO 45001
3800,ISO 14001
740237,Môi Trường An Toàn
1021426,Cơ khí chế tạo máy
1036126,Cơ khí chế tạo máy
1363,Chứng Từ Xuất Nhập Khẩu
1009397,Hợp đồng
1072624,hồ sơ thầu
51,Mua Hàng
87548,Process Quality Improvement
182,Quality Control
1207,Bán Hàng Dự Án
210,Tư Vấn
482,Account Management
17749,Chiến Lược Kinh Doanh
1031542,HubSpot
4660,CRM
3500,Payroll
543,Recruitment
20365,Tax Law
75858,SolidWorks
31587,Đọc Bản Vẽ Kỹ Thuật
988917,ham học hỏi
744,Business Administration
28607,Marketing Development
666,FMCG
19528,Human Management
381273,Accounting Software
733,Accounts Payable
75308,Cash Flow
76025,3D Studio Max
7134,Sketchup
47578,Autodesk
143306,Tư Vấn Chiến Lược Marketing
11137,Quản Lý Thương Hiệu
987845,Phân tích dữ liệu
110471,Sáng Tạo
619,Cơ Điện Tử
34211,Japanese N1
43763,Biên Dịch
71,Phiên Dịch
320708,IT Communications
69,Công Nghệ Thông Tin
271,Administration
597528,Managing Purchase Orders
990472,Regulatory Affairs
75579,OOP
185714,Data Modeling
356,Software Development
921974,Sửa Chữa Thiết Bị
1005606,Logistics Coordination
1019054,Logistics Coordination
1020681,Logistics Coordination
1316,Outbound
740008,Shipment Planning
737361,Shipment Tracking
307,Customer Care
6172,Giới Thiệu Sản Phẩm
343188,Báo Cáo Kinh Doanh
228842,Quản Lý Nguyên Liệu
1159113,Phát Triển Khách Hàng Mới
912029,Invoice Processing
1832,ERP
935866,Vận Hành Hệ Thống
354795,Quản Lý Thông Tin
3114,Quảng Bá Thương Hiệu
1036302,Xây dựng nội dung
697383,Cải Tiến Sáng Tạo
1025918,Kiểm soát ngân sách
199740,Kinh Doanh Thị Trường
1012941,Phân Tích Thông Tin
1026639,Quản Lý Chương Trình Khuyến Mãi
201930,Quản Lý Danh Mục Khách Hàng
710451,Tư Vấn Tài Chính
1081283,PRM
1041024,Tư Vấn Tín Dụng
27271,Lập Bản Vẽ Thi Công
788618,Giám Sát Thi Công HVAC
185352,HVAC System
782788,Thiết Kế Hệ Thống HVAC
836614,Revit Construction
714157,Kiểm Tra Chứng Từ
243048,Kế Toán Hóa Đơn
205661,Kế Toán Doanh Thu
2385,Công Nợ
1011812,Giáo dục
111473,Xây Dựng Chương Trình Đào Tạo
2050,Giảng Dạy
16474,Khoa Học Máy Tính
743366,Da Liễu Thẩm Mỹ
39981,Hóa Mỹ Phẩm
340690,Construction Design
4317,Mechatronics Engineering
318,Electrical
992101,Architecture
1114277,Bachelor's Degree
414,Bảo Hiểm
590718,Product Pricing
1048281,Ifrs17 Reporting
1028078,Pricing Management
39289,Điện Tử Y Sinh
732798,Phân Tích Rủi Ro
1226503,Chiến Lược Chuyển Đổi
638205,Quay Dựng Video
905088,Tiếng Trung Cơ Bản
33501,Điện Dân Dụng
2033,Điện Lạnh
677832,Lắp Đặt Điện
47362,Credit Management
156209,Administration Support
94941,Operational Cost Analysis
1026426,Credit Document Management
478214,Credit Operation
28039,An Ninh Mạng
1138,IT Hardware
17781,Quản Trị Hệ Thống
228944,Quản Trị Máy Chủ
710627,DevOps
435382,Packaging Material
41371,Packaging Development
41374,Packaging Technology
24133,Food Manufacturing
1087687,Production Engineer
1007509,Manufacturing
564,Thẩm Định
705883,Bóc Tách Khối Lượng
1679,Cơ Điện
31071,Lập Hồ Sơ Đấu Thầu
10862,Lập Dự Toán
929842,Banking Law
161445,Thu Hồi Nợ Pháp Lý
1014350,Xử Lý Nợ
6762,Tố Tụng
16338,Internal Audit
11479,Network Security
1018046,CEH
990736,CISSP
75014,Reporting
23419,Technical Documentation
8031,Retail Management
1011582,Supervisory skills
16572,Machine Learning
7935,Python Programming
7374,Social Media Development
711652,Marketing
1010994,Content creation
257623,Fintech
1001304,.NET Framework
343206,Test Script
717273,Web API
987880,SQL Server
5963,Entity Framework
154168,Xây Dựng Chiến Lược
694403,Đổi Mới Sáng Tạo
74940,JavaScript
193318,React Native
885465,Flutter
26651,Material Handling
1013563,Quản Lý Danh Mục
1004,Giám Sát Bán Hàng
58,Bán Hàng
984771,Sales Supervisor
7577,Excel
4475,Talent Acquisition
3422,Human Resources
993558,Kế Toán Tài Chính
988094,Nghiệp Vụ Kế Toán
991087,kế toán trưởng
1019230,Electric vehicle technology knowledge
771293,Ô Tô Điện
90925,Android Development
1012032,Embedded Systems
1114756,Aosp Customization
380556,Automotive Technology
112302,AUTOSAR
919235,SAP FICO
637480,Finance Business Partnering
721602,Financial Accounting
656082,Financial Data Management
987881,AWS
1011349,AWS
478,Front End
1031199,Spring Boot Framework
1078849,Spring Boot Framework
21055,Quản Lý Thi Công
628457,Kiểm Soát Tiến Độ Dự Án
10085,Site Management
712529,Tham Mưu Đề Xuất
916845,Bản Vẽ Kỹ Thuật
674571,Nghiệm Thu Xây Dựng
139916,Customer Experience Management
1669,Freight Forwarding
126,Problem Solving
20514,Sales Strategy
1065178,Documentation Compliance
13108,Sư Phạm
694102,Điều Phối Lớp Học
602292,Điều Phối Học Vụ
985301,Quản Lý Học Vụ
762499,Quản Lý Hóa Đơn Chứng Từ
4057,Đấu Thầu
6466,Đàm Phán
38953,Phiên Dịch Ngành Xây Dựng
1026618,Field Service Experience
640426,Công Nghệ Đúc
2142,Công Nghiệp Nặng
721030,Maintenance
1030877,Trouble Shooting
748290,After-Sales Support
267,Technical Support
1090,Semiconductor
740455,NPI
1029771,SMT Process Expertise
87815,Semiconductor Packaging
8,Project Management
941266,Package Design
549339,Vi Mạch Điện Tử
13664,Layout Design
53807,IC Design
406,Design
1478,Giám Sát
715,Giám Sát Công Trường
354222,Quoted Price
474395,Sourcing Management
26112,Supplier Management
911225,Supply Chain Operation
1001914,Mechanical engineer
1045302,Packaging Knowledge
1078272,Beverage Filling Machinery
297747,Phân Tích Môi Trường
4574,Thuyết Trình
25824,Sử Dụng Phần Mềm
941031,ESG
851,Transportation
75019,Supply Chain
630491,Transportation Operations
388037,SMT Production
259557,Asset Control
1047866,Production Support
1066077,Production Support
1024631,SAP PM
1054233,TPM System
77081,DMAIC
75649,IFRS
6363,Tax Accounting
6437,Negotiate
367,Tourism
988426,Organizational skills
1013253,Coordinator
20520,Luật Doanh Nghiệp
746081,Hợp Đồng Quốc Tế
530,Pháp Lý
1005215,Tiếng anh Pháp lý
650188,Luật Thuế Doanh Nghiệp
7007,Lập Kế Hoạch Bảo Trì
654946,Nghiên Cứu Cải Tiến
133134,Quản Lý An Toàn Lao Động
1015881,Legal Knowledge
1076426,Legal & Law
738390,Legal Consulting
912807,Legal Compliance
7419,Business Law
514,Project Coordination
1054406,CCTV Systems
107862,Data Security
3405,Information Technology
5473,Quản Lý Tài Chính
1038225,Kế Hoạch Tài Chính
722,Kiểm Kê Tài Sản
12362,Quyết Toán Thuế
17776,Đối Chiếu Công Nợ
914192,BIM Archicad
1657,Graphic Software
912492,ArchiCAD
161542,Landscape Architecture
698972,Architecture Documentation
171160,Bảo Trì Tòa Nhà
772017,Giám Sát Kiểm Tra
423793,Kiểm Tra Phòng Cháy Chữa Cháy
160041,Sửa Chữa Bảo Dưỡng
788621,Vận Hành Cơ Điện
1190,Tiếng Nhật N3
287894,Quản Lý Tài Sản
1020984,Chuẩn Bị Tài Liệu
999655,PPAP
1039434,PPAP
1043085,PPAP
150081,Đo Đạc
1031,Tiếng Nhật N2
940453,Báo Cáo
1090892,Sản xuất
1097868,Sản xuất
1103681,Sản xuất
795922,Thu Hồi Nợ Xấu
2150,Quản Trị Rủi Ro
1575,Quản Lý Rủi Ro Tín Dụng
214,Kế Toán Thuế
144015,Luật Thuế
990748,Sử dụng phần mềm kế toán Misa
1115953,Sử dụng phần mềm kế toán Misa
1116688,Sử dụng phần mềm kế toán Misa
1119125,Sử dụng phần mềm kế toán Misa
1122363,Sử dụng phần mềm kế toán Misa
24278,Quản Lý Công Nghiệp
1051,Thương Mại Điện Tử
278,Phát Triển Kinh Doanh
232457,Kinh Doanh B2B
4257,Kinh Doanh Quốc Tế
479,Kiểm Toán Nội Bộ
109967,Giảng Dạy Tin Học Văn Phòng
119929,Target Setting
987723,Kỹ Năng Quản Lý
804,Bất Động Sản
974922,Social Insurance
1062261,"Làm lương, BHXH"
1061744,Tuyển dụng & Nhân sự
1056221,Hành chính - Nhân sự
1068105,Hành chính - Nhân sự
697953,Technical Sales Support
3033,Sales Support
1095589,làm hồ sơ
1040845,Nhập Dữ Liệu
2631,Application Support
722239,IT Helpdesk
74946,System Administration
1076377,Kỹ Năng Trình Bày
103,Hành Chính
112,Nhân Sự
3028,Quản Trị
399,Medical
207255,Medical Education
384502,Healthcare System
394045,Java Spring Framework
329,Software Engineering
4893,Lập Kế Hoạch Sản Xuất
33651,Theo Dõi Tiến Độ
770717,Kiểm Soát Chi Phí
1779,Quản Lý Quy Trình
244,Thống Kê
101188,Academic Program Management
99626,Academic Program Development
364208,Teaching Methodology
102262,Academic Research
639446,Teaching Quality
993208,Mechanical knowledge
782868,Teaching Math
913065,Mathematics Education
603646,Mathematics
987860,Chứng Từ Kế Toán
5295,Kế Toán Ngân Hàng
995282,Phần Mềm Kế Toán
136221,Quy Định Pháp Luật Về Thuế
110128,ISO 9000
588075,Mechanism Design
1155783,EMS
76594,EHS
182468,Huy Động Vốn
202264,Quản Trị Nguồn Vốn
435025,Định Chế Ngân Hàng
28492,Investment Banking
86469,Accounting Management
63771,CPA Certificate
75364,Bookkeeping
989639,Interpersonal Skills
933127,Sales Development
1226340,Door Hardware Solutions
1038399,Accounting and Bookkeeping
1025145,Accounting standard
994499,Auditing
7770,Tax Management
923925,Governance
14350,Insurance Underwriting
433907,Non-life Insurance
991714,Policy Insurance
988,Product Development
1042748,Incoterm
1011413,Import – Export
998388,logistic
818025,Thẩm Định Rủi Ro Tín Dụng
79245,SQLite
987901,CAD
924120,C/C++
73114,Partnership Development
331,Management
1121643,Cable design
1076786,Giao Tiếp Thuyết Phục
72,Tiếng Nhật
2218,Tiếng Hàn
33139,Phân Tích Tín Dụng
192744,Building Management
55223,Facilities Management
169024,Facility Maintenance
354646,Banking Regulation
24522,Client Service
100459,Credit Appraisal
1120756,Financial Skills
1015041,Appium
726431,Secretary Administration
181595,Drafting Documents
1010959,Compliance Checking
373334,Legal Regulations
987761,Assistant
385,Tiếng Trung
28202,Giao Dịch Ngân Hàng
786527,Tư Vấn Giao Dịch
280427,Kinh Doanh Rượu Vang
1586,Giám Sát Nhà Hàng
988914,Sale
655674,Quality Standards
328067,HSE Regulations
3018,Lean Manufacturing
1025473,ERP Software
999,Merchandising
556719,Online Advertising
575762,Cosmetic Brand
118229,Key Account Development
741636,Nghiên Cứu Học Thuật
699166,Educational Programming
734985,Hỗ Trợ Học Sinh
175957,Quản Lý Lớp Học
1074361,Giảng dạy Ngữ văn
677378,Thiết Kế Bài Giảng
2444,Luật
708297,Luật Thương Mại
1931,Licensing
1015258,CRM Systems
80661,Customer Service Training
81546,Dealer Management
793777,Cải Tiến Công Đoạn
3733,Thiết Kế Sản Phẩm
706523,Kỹ Thuật Hoá Học
347,B2C Sales
1089540,Tư vấn phần mềm
521609,Kinh Doanh Ngành Sơn
521601,Kinh Doanh Thiết Bị Máy Móc
151869,Sơn Ô Tô
30206,Sơn Công Nghiệp
4891,Kê Khai Thuế
65182,Am Hiểu Pháp Luật
488079,Hàng Vật Liệu Xây Dựng
13385,Business English
1100121,Inspiring And Motivating Others
112023,Persuasion
617851,Sales Solution
752714,Hàn Điện Công Nghiệp
1898,Hàn Cơ Khí
764323,Thiết Lập Quy Trình Hàn
1095726,KAIZEN
18300,Electrical Design
390616,ISO Standards
320081,Electrical Installation
1010734,Electrical Systems
775208,Mechatronics Design
651,Trade Marketing
9649,Brand Management
4489,New Product Development
1008055,nhân sự tổng hợp
1534,Electronic
19531,Electric Appliance
992031,Technical
999050,manufacture
1020726,Chạy ADS
1114063,Chạy ADS
14549,Mỹ Phẩm
2711,Quảng Cáo Online
1010641,Kế toán
664582,Thuế Tài Chính
599,Dược
29247,Thuốc Tây
680466,Vietnamese Communication
1181819,It Device Knowledge
71553,QC Inspection
992862,QA/QC
712,ISO
76054,Welding
1015670,SAP system
1013033,Manufacturing Process
36621,Lập Trình Nhúng
117344,Trí Tuệ Nhân Tạo
3734,Sửa Chữa
341815,Dây Chuyền Sản Xuất
719379,SMT Operation
655011,Quản Lý Dây Chuyền SMT
182179,Kỹ Thuật SMT
988788,Adaptability
1011637,Adaptability
1014208,Adaptability
32519,Interpersonal Communication
1076204,Results Driven
999079,Admin
992193,General Affairs
987663,Facility Management
1119789,Hành chính - Admin
987861,Word
1326,Account Receivable
911602,Quality System
991486,Analytics
794,Forwarding
1111509,Gofreight System
27000,Chinese Speaking
900560,Digital Marketing Performance
477290,Digital Marketing Tools
30853,Affiliate Marketing
75115,Integrated Marketing
138489,Quản Lý Hợp Đồng
529,Bảo Hiểm Phi Nhân Thọ
467319,Reconcile Invoice
716291,Hóa Học
1014927,Nguyên Vật Liệu
725,Phiên Dịch Tiếng Nhật
32251,Translate Japanese
393,Production Control
1757,Japanese N3
1017736,Đóng Gói
960,Packaging
701149,Xero Accounting Software
1032320,Accounting/Finance/Auditing
150098,Phiên Dịch Tài Liệu
1155098,Dịch tài liệu
3793,Kỹ Thuật Sản Xuất
46205,Tiếng Nhật N1
612,Mechanics
75805,PLC
927280,MRO
592354,Procument Skill
911607,Indirect Purchasing
1074251,Procurement Administration
81303,Mass Production
1047842,Planning Management
988702,New Business Development
1006408,Sale Solution
1000939,Account Manager
998461,Viết Test Case
